FIPS,state_name,county_name,value
01001,Alabama,Autauga,5.5
01003,Alabama,Baldwin,5.5
01005,Alabama,Barbour,6.35
01007,Alabama,Bibb,6.35
01009,Alabama,Blount,5.5
01011,Alabama,Bullock,6.35
01013,Alabama,Butler,5.5
01015,Alabama,Calhoun,20.0
01017,Alabama,Chambers,5.5
01019,Alabama,Cherokee,5.5
01021,Alabama,Chilton,6.35
01023,Alabama,Choctaw,5.5
01025,Alabama,Clarke,4.85
01027,Alabama,Clay,5.5
01029,Alabama,Cleburne,5.5
01031,Alabama,Coffee,6.35
01033,Alabama,Colbert,5.5
01035,Alabama,Conecuh,4.85
01037,Alabama,Coosa,4.85
01039,Alabama,Covington,4.85
01041,Alabama,Crenshaw,5.5
01043,Alabama,Cullman,6.35
01045,Alabama,Dale,20.0
01047,Alabama,Dallas,6.35
01049,Alabama,DeKalb,5.5
01051,Alabama,Elmore,6.35
01053,Alabama,Escambia,5.5
01055,Alabama,Etowah,5.5
01057,Alabama,Fayette,5.5
01059,Alabama,Franklin,6.35
01061,Alabama,Geneva,5.5
01063,Alabama,Greene,5.5
01065,Alabama,Hale,5.5
01067,Alabama,Henry,5.5
01069,Alabama,Houston,20.0
01071,Alabama,Jackson,5.5
01073,Alabama,Jefferson,20.0
01075,Alabama,Lamar,5.5
01077,Alabama,Lauderdale,20.0
01079,Alabama,Lawrence,5.5
01081,Alabama,Lee,20.0
01083,Alabama,Limestone,5.5
01085,Alabama,Lowndes,6.35
01087,Alabama,Macon,20.0
01089,Alabama,Madison,20.0
01091,Alabama,Marengo,5.5
01093,Alabama,Marion,5.5
01095,Alabama,Marshall,6.35
01097,Alabama,Mobile,20.0
01099,Alabama,Monroe,4.85
01101,Alabama,Montgomery,20.0
01103,Alabama,Morgan,5.5
01105,Alabama,Perry,20.0
01107,Alabama,Pickens,5.5
01109,Alabama,Pike,20.0
01111,Alabama,Randolph,5.5
01113,Alabama,Russell,20.0
01115,Alabama,St. Clair,5.5
01117,Alabama,Shelby,5.5
01119,Alabama,Sumter,20.0
01121,Alabama,Talladega,6.35
01123,Alabama,Tallapoosa,5.5
01125,Alabama,Tuscaloosa,20.0
01127,Alabama,Walker,5.5
01129,Alabama,Washington,5.5
01131,Alabama,Wilcox,4.85
01133,Alabama,Winston,4.85
04001,Arizona,Apache,6.35
04003,Arizona,Cochise,6.35
04005,Arizona,Coconino,20.0
04007,Arizona,Gila,4.85
04009,Arizona,Graham,20.0
04011,Arizona,Greenlee,6.35
04012,Arizona,La Paz,4.85
04013,Arizona,Maricopa,20.0
04015,Arizona,Mohave,4.85
04017,Arizona,Navajo,6.35
04019,Arizona,Pima,20.0
04021,Arizona,Pinal,5.5
04023,Arizona,Santa Cruz,5.5
04025,Arizona,Yavapai,4.85
04027,Arizona,Yuma,20.0
05001,Arkansas,Arkansas,5.5
05003,Arkansas,Ashley,5.5
05005,Arkansas,Baxter,4.85
05007,Arkansas,Benton,20.0
05009,Arkansas,Boone,5.5
05011,Arkansas,Bradley,6.35
05013,Arkansas,Calhoun,5.5
05015,Arkansas,Carroll,5.5
05017,Arkansas,Chicot,6.35
05019,Arkansas,Clark,20.0
05021,Arkansas,Clay,20.0
05023,Arkansas,Cleburne,4.85
05025,Arkansas,Cleveland,4.85
05027,Arkansas,Columbia,20.0
05029,Arkansas,Conway,5.5
05031,Arkansas,Craighead,20.0
05033,Arkansas,Crawford,5.5
05035,Arkansas,Crittenden,20.0
05037,Arkansas,Cross,4.85
05039,Arkansas,Dallas,5.5
05041,Arkansas,Desha,6.35
05043,Arkansas,Drew,20.0
05045,Arkansas,Faulkner,20.0
05047,Arkansas,Franklin,5.5
05049,Arkansas,Fulton,5.5
05051,Arkansas,Garland,4.85
05053,Arkansas,Grant,5.5
05055,Arkansas,Greene,6.35
05057,Arkansas,Hempstead,5.5
05059,Arkansas,Hot Spring,5.5
05061,Arkansas,Howard,5.5
05063,Arkansas,Independence,6.35
05065,Arkansas,Izard,4.85
05067,Arkansas,Jackson,6.35
05069,Arkansas,Jefferson,20.0
05071,Arkansas,Johnson,20.0
05073,Arkansas,Lafayette,5.5
05075,Arkansas,Lawrence,6.35
05077,Arkansas,Lee,20.0
05079,Arkansas,Lincoln,20.0
05081,Arkansas,Little River,20.0
05083,Arkansas,Logan,4.85
05085,Arkansas,Lonoke,5.5
05087,Arkansas,Madison,5.5
05089,Arkansas,Marion,4.85
05091,Arkansas,Miller,20.0
05093,Arkansas,Mississippi,20.0
05095,Arkansas,Monroe,4.85
05097,Arkansas,Montgomery,4.85
05099,Arkansas,Nevada,5.5
05101,Arkansas,Newton,4.85
05103,Arkansas,Ouachita,5.5
05105,Arkansas,Perry,5.5
05107,Arkansas,Phillips,5.5
05109,Arkansas,Pike,5.5
05111,Arkansas,Poinsett,5.5
05113,Arkansas,Polk,5.5
05115,Arkansas,Pope,20.0
05117,Arkansas,Prairie,5.5
05119,Arkansas,Pulaski,20.0
05121,Arkansas,Randolph,5.5
05123,Arkansas,St. Francis,6.35
05125,Arkansas,Saline,4.85
05127,Arkansas,Scott,5.5
05129,Arkansas,Searcy,4.85
05131,Arkansas,Sebastian,20.0
05133,Arkansas,Sevier,20.0
05135,Arkansas,Sharp,4.85
05137,Arkansas,Stone,4.85
05139,Arkansas,Union,5.5
05141,Arkansas,Van Buren,4.85
05143,Arkansas,Washington,20.0
05145,Arkansas,White,20.0
05147,Arkansas,Woodruff,4.85
05149,Arkansas,Yell,6.35
06001,California,Alameda,20.0
06003,California,Alpine,4.85
06005,California,Amador,4.85
06007,California,Butte,20.0
06009,California,Calaveras,4.85
06011,California,Colusa,6.35
06013,California,Contra Costa,5.5
06015,California,Del Norte,20.0
06017,California,El Dorado,4.85
06019,California,Fresno,20.0
06021,California,Glenn,6.35
06023,California,Humboldt,20.0
06025,California,Imperial,20.0
06027,California,Inyo,4.85
06029,California,Kern,20.0
06031,California,Kings,20.0
06033,California,Lake,4.85
06035,California,Lassen,20.0
06037,California,Los Angeles,20.0
06039,California,Madera,20.0
06041,California,Marin,5.5
06043,California,Mariposa,4.85
06045,California,Mendocino,5.5
06047,California,Merced,20.0
06049,California,Modoc,4.85
06051,California,Mono,20.0
06053,California,Monterey,20.0
06055,California,Napa,6.35
06057,California,Nevada,4.85
06059,California,Orange,20.0
06061,California,Placer,4.85
06063,California,Plumas,4.85
06065,California,Riverside,20.0
06067,California,Sacramento,20.0
06069,California,San Benito,6.35
06071,California,San Bernardino,20.0
06073,California,San Diego,20.0
06075,California,San Francisco,20.0
06077,California,San Joaquin,20.0
06079,California,San Luis Obispo,20.0
06081,California,San Mateo,20.0
06083,California,Santa Barbara,20.0
06085,California,Santa Clara,6.35
06087,California,Santa Cruz,20.0
06089,California,Shasta,6.35
06091,California,Sierra,4.85
06093,California,Siskiyou,4.85
06095,California,Solano,20.0
06097,California,Sonoma,6.35
06099,California,Stanislaus,20.0
06101,California,Sutter,6.35
06103,California,Tehama,5.5
06105,California,Trinity,4.85
06107,California,Tulare,20.0
06109,California,Tuolumne,5.5
06111,California,Ventura,6.35
06113,California,Yolo,20.0
06115,California,Yuba,20.0
08001,Colorado,Adams,6.35
08003,Colorado,Alamosa,20.0
08005,Colorado,Arapahoe,6.35
08007,Colorado,Archuleta,4.85
08009,Colorado,Baca,4.85
08011,Colorado,Bent,20.0
08013,Colorado,Boulder,20.0
08014,Colorado,Broomfield,20.0
08015,Colorado,Chaffee,4.85
08017,Colorado,Cheyenne,4.85
08019,Colorado,Clear Creek,4.85
08021,Colorado,Conejos,5.5
08023,Colorado,Costilla,4.85
08025,Colorado,Crowley,20.0
08027,Colorado,Custer,4.85
08029,Colorado,Delta,4.85
08031,Colorado,Denver,6.35
08033,Colorado,Dolores,4.85
08035,Colorado,Douglas,4.85
08037,Colorado,Eagle,6.35
08039,Colorado,Elbert,4.85
08041,Colorado,El Paso,20.0
08043,Colorado,Fremont,4.85
08045,Colorado,Garfield,6.35
08047,Colorado,Gilpin,4.85
08049,Colorado,Grand,4.85
08051,Colorado,Gunnison,20.0
08053,Colorado,Hinsdale,6.35
08055,Colorado,Huerfano,4.85
08057,Colorado,Jackson,5.5
08059,Colorado,Jefferson,5.5
08061,Colorado,Kiowa,4.85
08063,Colorado,Kit Carson,5.5
08065,Colorado,Lake,20.0
08067,Colorado,La Plata,20.0
08069,Colorado,Larimer,20.0
08071,Colorado,Las Animas,6.35
08073,Colorado,Lincoln,6.35
08075,Colorado,Logan,20.0
08077,Colorado,Mesa,20.0
08079,Colorado,Mineral,4.85
08081,Colorado,Moffat,5.5
08083,Colorado,Montezuma,4.85
08085,Colorado,Montrose,4.85
08087,Colorado,Morgan,6.35
08089,Colorado,Otero,5.5
08091,Colorado,Ouray,4.85
08093,Colorado,Park,4.85
08095,Colorado,Phillips,4.85
08097,Colorado,Pitkin,4.85
08099,Colorado,Prowers,6.35
08101,Colorado,Pueblo,6.35
08103,Colorado,Rio Blanco,6.35
08105,Colorado,Rio Grande,5.5
08107,Colorado,Routt,6.35
08109,Colorado,Saguache,4.85
08111,Colorado,San Juan,4.85
08113,Colorado,San Miguel,4.85
08115,Colorado,Sedgwick,5.5
08117,Colorado,Summit,20.0
08119,Colorado,Teller,4.85
08121,Colorado,Washington,4.85
08123,Colorado,Weld,20.0
08125,Colorado,Yuma,4.85
09110,Connecticut,Capitol,20.0
09120,Connecticut,Greater Bridgeport,6.35
09130,Connecticut,Lower Connecticut River Valley,6.35
09140,Connecticut,Naugatuck Valley,5.5
09150,Connecticut,Northeastern Connecticut,20.0
09160,Connecticut,Northwest Hills,20.0
09170,Connecticut,South Central Connecticut,20.0
09180,Connecticut,Southeastern Connecticut,20.0
09190,Connecticut,Western Connecticut,5.5
10001,Delaware,Kent,20.0
10003,Delaware,New Castle,20.0
10005,Delaware,Sussex,5.5
11001,District of Columbia,District of Columbia,20.0
12001,Florida,Alachua,20.0
12003,Florida,Baker,20.0
12005,Florida,Bay,20.0
12007,Florida,Bradford,6.35
12009,Florida,Brevard,20.0
12011,Florida,Broward,6.35
12013,Florida,Calhoun,6.35
12015,Florida,Charlotte,4.85
12017,Florida,Citrus,4.85
12019,Florida,Clay,5.5
12021,Florida,Collier,4.85
12023,Florida,Columbia,20.0
12027,Florida,DeSoto,20.0
12029,Florida,Dixie,5.5
12031,Florida,Duval,20.0
12033,Florida,Escambia,20.0
12035,Florida,Flagler,4.85
12037,Florida,Franklin,20.0
12039,Florida,Gadsden,6.35
12041,Florida,Gilchrist,20.0
12043,Florida,Glades,5.5
12045,Florida,Gulf,5.5
12047,Florida,Hamilton,20.0
12049,Florida,Hardee,20.0
12051,Florida,Hendry,20.0
12053,Florida,Hernando,4.85
12055,Florida,Highlands,4.85
12057,Florida,Hillsborough,20.0
12059,Florida,Holmes,20.0
12061,Florida,Indian River,4.85
12063,Florida,Jackson,20.0
12065,Florida,Jefferson,5.5
12067,Florida,Lafayette,20.0
12069,Florida,Lake,4.85
12071,Florida,Lee,5.5
12073,Florida,Leon,20.0
12075,Florida,Levy,4.85
12077,Florida,Liberty,6.35
12079,Florida,Madison,6.35
12081,Florida,Manatee,5.5
12083,Florida,Marion,4.85
12085,Florida,Martin,4.85
12086,Florida,Miami-Dade,20.0
12087,Florida,Monroe,5.5
12089,Florida,Nassau,20.0
12091,Florida,Okaloosa,20.0
12093,Florida,Okeechobee,6.35
12095,Florida,Orange,20.0
12097,Florida,Osceola,6.35
