FIPS,state_name,county_name,value
01069,Alabama,Houston,Bin 2
01023,Alabama,Choctaw,Bin 2
01113,Alabama,Russell,Bin 3
10005,Delaware,Sussex,Bin 4
01071,Alabama,Jackson,Bin 2
01089,Alabama,Madison,Bin 4
04015,Arizona,Mohave,Bin 6
05017,Arkansas,Chicot,Bin 2
05121,Arkansas,Randolph,Bin 2
05073,Arkansas,Lafayette,Bin 3
05057,Arkansas,Hempstead,Bin 4
06079,California,San Luis Obispo,Bin 5
06081,California,San Mateo,Bin 4
06091,California,Sierra,Bin 2
08067,Colorado,La Plata,Bin 6
12007,Florida,Bradford,Bin 6
10003,Delaware,New Castle,Bin 4
09190,Connecticut,Western Connecticut,Bin 2
12009,Florida,Brevard,Bin 4
12131,Florida,Walton,Bin 3
12053,Florida,Hernando,Bin 3
12047,Florida,Hamilton,Bin 5
12065,Florida,Jefferson,Bin 6
12031,Florida,Duval,Bin 5
13105,Georgia,Elbert,Bin 4
13213,Georgia,Murray,Bin 3
16073,Idaho,Owyhee,Bin 2
16049,Idaho,Idaho,Bin 2
17105,Illinois,Livingston,Bin 5
17161,Illinois,Rock Island,Bin 5
27087,Minnesota,Mahnomen,Bin 6
18089,Indiana,Lake,Bin 6
04013,Arizona,Maricopa,Bin 6
06067,California,Sacramento,Bin 6
19159,Iowa,Ringgold,Bin 6
06107,California,Tulare,Bin 5
06069,California,San Benito,Bin 6
19163,Iowa,Scott,Bin 6
27053,Minnesota,Hennepin,Bin 6
17125,Illinois,Mason,Bin 2
36005,New York,Bronx,Bin 1
20099,Kansas,Labette,Bin 2
36119,New York,Westchester,Bin 2
36053,New York,Madison,Bin 6
21235,Kentucky,Whitley,Bin 2
44007,Rhode Island,Providence,Bin 2
36029,New York,Erie,Bin 4
48287,Texas,Lee,Bin 5
36091,New York,Saratoga,Bin 6
01121,Alabama,Talladega,Bin 3
21133,Kentucky,Letcher,Bin 2
38017,North Dakota,Cass,Bin 2
39035,Ohio,Cuyahoga,Bin 6
39061,Ohio,Hamilton,Bin 6
22075,Louisiana,Plaquemines,Bin 1
22031,Louisiana,De Soto,Bin 4
22111,Louisiana,Union,Bin 2
22115,Louisiana,Vernon,Bin 3
01087,Alabama,Macon,Bin 2
01041,Alabama,Crenshaw,Bin 3
24005,Maryland,Baltimore,Bin 2
24019,Maryland,Dorchester,Bin 1
24017,Maryland,Charles,Bin 1
24015,Maryland,Cecil,Bin 3
25001,Massachusetts,Barnstable,Bin 6
25017,Massachusetts,Middlesex,Bin 6
26103,Michigan,Marquette,Bin 5
26053,Michigan,Gogebic,Bin 6
26115,Michigan,Monroe,Bin 2
26141,Michigan,Presque Isle,Bin 2
27075,Minnesota,Lake,Bin 5
27163,Minnesota,Washington,Bin 6
28001,Mississippi,Adams,Bin 4
28087,Mississippi,Lowndes,Bin 3
28143,Mississippi,Tunica,Bin 3
28139,Mississippi,Tippah,Bin 3
29099,Missouri,Jefferson,Bin 6
30001,Montana,Beaverhead,Bin 5
30105,Montana,Valley,Bin 5
30005,Montana,Blaine,Bin 3
30029,Montana,Flathead,Bin 3
33017,New Hampshire,Strafford,Bin 4
34001,New Jersey,Atlantic,Bin 3
34009,New Jersey,Cape May,Bin 4
34041,New Jersey,Warren,Bin 5
34019,New Jersey,Hunterdon,Bin 5
34025,New Jersey,Monmouth,Bin 2
34023,New Jersey,Middlesex,Bin 3
35045,New Mexico,San Juan,Bin 6
36031,New York,Essex,Bin 5
37047,North Carolina,Columbus,Bin 4
37039,North Carolina,Cherokee,Bin 3
37149,North Carolina,Polk,Bin 4
37009,North Carolina,Ashe,Bin 3
37055,North Carolina,Dare,Bin 2
